,TRACTCE_a,TRACTCE_b,distance
1,031705,032212,22236.62547805721
2,031705,032322,38423.760229335305
44,031705,032213,24613.040009563265
45,031705,032318,28930.873214015333
46,031705,032702,41784.467004243874
66,031705,032203,24639.905394299578
96,031705,032211,23232.980095829327
97,031705,032800,57002.20709349105
105,031705,031906,7168.281694398157
106,031705,031908,7758.2236144449935
107,031705,032006,4071.283928468034
109,031705,032102,16450.108853872072
110,031705,032214,25653.09243178018
111,031705,032309,33965.94938248142
112,031705,032317,27890.844680100003
113,031705,032324,33918.25297579629
114,031705,032329,34262.73494779173
128,031705,032602,24609.613221349806
148,031705,032010,6712.683525638801
162,031705,032500,41831.75991273756
200,031705,032210,22177.49902278167
201,031705,032215,27265.40224931141
202,031705,032307,41837.47743815156
203,031705,032311,41937.39038064004
204,031705,032315,32821.88739912411
205,031705,032320,41656.461700756285
291,031705,032328,31917.890400767385
292,031705,032401,42549.249084585186
293,031705,032402,37930.109365325756
294,031705,032601,29885.721436709842
295,031705,032325,34014.16251869774
296,031705,032703,26791.80352832867
297,031705,031904,10079.066419299907
298,031705,031907,8205.167951430054
299,031705,032007,3804.8660774420678
300,031705,032011,5916.102535925877
301,031705,032103,18238.305172907243
303,031705,032104,14546.196878092713
304,031705,032207,22600.19227367311
306,031705,031706,1867.4687746422076
307,031705,031903,11300.959638534625
308,031705,032321,37530.05160348947
309,031705,032323,35364.531688157505
328,031705,032704,28605.122313776177
335,031705,032003,15535.840899215777
336,031705,032313,32233.632837791127
337,031705,032327,37037.329984994634
338,031705,032319,42238.696219173806
340,031705,031800,3104.802916979128
341,031705,032208,20768.544920699183
374,031705,032002,8371.488997068795
378,031705,032008,4763.781871054749
379,031705,032316,28926.97324826769
380,031705,032326,37567.3948593484
382,031705,032005,2303.5476579038486
396,031705,031909,6801.4948255513045
399,032212,032322,18828.5128544799
441,032212,032213,2406.2472315106243
442,032212,032318,7690.031065201125
443,032212,032702,36138.851803316495
494,032212,032800,41861.071521777725
507,032212,032214,4020.148034860364
508,032212,032309,16151.850317429407
509,032212,032317,7290.821895490982
510,032212,032324,15556.447447663179
511,032212,032329,12979.348167304353
